participant_id,payment
68c9adf3ce921224388f11f1,0.00
60dca1012ab07b005628136f,0.00
5a94f57289de8200013ecbc8,1.00
6061ef11da123a1d9e55c6c8,1.00
660eafee7515c432e850362d,0.00
5e7a2ccd69a7770604dfb352,1.00
695fa9d847aaaf15279b5285,1.00
6112bab70c61f8247ee7e228,0.00
55a2159bfdf99b3cec08f1a9,1.00
64401b8dc61551f15637634b,1.00
65fddd28b6c2225134a7102b,1.00
6740ae39809389d7da9de209,0.00
5c5ff87f8c0552000109d7de,1.00
5e0f649eabec5d678a6f11bb,1.00
613a972033d79df11a6570de,0.00
6426d08b5c724cc1283cec63,0.00
5cf101ea48405a0018415d09,1.00
5f00dcdde2787b22556593e7,1.00
5f9c2359530d3e067a300bd6,1.00
5b0f025ed282ff00015bc309,1.00
62b2132a781ad15631672d81,0.00
614e4f5af7eba1c013541155,1.00
5ef109c89196fa6d5cf6c005,1.00
5d9a125f1714540016a40a27,1.00
5efc71c12e8008012d01b013,1.00
676a9ff29f682327702b7b06,1.00
6108f72b081cf2b1cbde83aa,0.00
6694154a46060b3c49b2d6fd,1.00
668742836c471dcf953ddeb3,1.00
6621a2f38453311275d17d65,0.00
610932d480421609a15946db,0.00
5b97a1e083bd380001b92485,1.00
66a54834bb5e6fa894255d6f,0.00
66cf21fac640537abe16a607,0.00
68cc3fd76ec1829f1041a8de,1.00
663cca6f32da191e05406d21,0.00
5d5d44acd2aa33001b70a228,1.00
67450946b04fde22747d21e2,0.00
5e933bbce6812e6768a81eb9,1.00
5e469f9ef0d398000b1f13f2,1.00
5ec3eabec8f93307a60c5d1b,2.00
62b74ec256808d84b3e691d6,2.00
6791f6dd715489698cb9523e,2.80
6910b44de7471a51b1cfd2bc,0.00
661ffc54a056bd10dc4b95a1,2.00
636d6ce3fb3683ff33f9e514,2.00
65b571deec1559505fc20ac3,1.00
67d26693b095f1a0dcbd57a5,2.01
5f4c175e219f12824882c23d,3.00
65fc95c627592d85499ae358,2.00
60e6d87ad1de7a97c3f50c20,3.00
60ad1f9ca06e7de74008934e,0.00
695c0d0826bfa6a67f9d13ed,2.60
68d4401a239d0533f8a66382,1.00
5cfbf333ac28dd00196e807b,3.00
65f1ea9f38d54225b7b8da86,3.00
6068b59d11e77c24954def38,0.00
5e076480c4e1550e2114f006,3.00
5bf2e3ee6d4c3e00014420d6,3.00
5dd56e51954d1952f17bb57b,3.00
60827e52a046c9b82574d391,3.00
6930a7a621b861f0a3542456,0.20
5f6e76757befe43b22307387,3.00
605f856a958ba27c0300c200,3.00
60fd39703a387e7cfb6893b7,1.00
60a54bce58932d1b4db91de3,0.00
5dd3e3cd5daaa63c5fdb7bb8,3.00
5e80e70d3c00ce7d6fdb69ef,3.00
5d55d43e25dd4c00174122dc,2.00
5f802c981bc48a0105a3c641,3.00
615200d54efc832849db2259,2.00
63d79fcd741f9cfb2f87152f,0.00
5e5521580ee1b951df544c3c,2.00
676059a89a0c103ec2d1f45e,3.00
562a00dac8ffc20012513fbe,3.00
5f97f80e8279d602b5dfd6b1,3.00
5ed02ffb8090240f93ab74ad,3.00
637ffd0ae752c8e33f91798b,1.00
65c946a203b1a88740b02e52,1.00
681b781064a5701a5ceee3bc,2.00
